SalePrice,OverallQual,GrLivArea,GarageCars,TotalBsmtSF,FullBath,YearBuilt
208500,7,1710,2,856,2,2003
181500,6,1262,2,1262,2,1976
223500,7,1786,2,920,2,2001
140000,7,1717,3,756,1,1915
250000,8,2198,3,1145,2,2000
143000,5,1362,2,796,1,1993
307000,8,1694,2,1686,2,2004
200000,7,2090,2,1107,2,1973
129900,7,1774,2,952,2,1931
118000,5,1077,1,991,1,1939
129500,5,1040,1,1040,1,1965
345000,9,2324,3,1175,3,2005
144000,5,912,1,912,1,1962
279500,7,1494,3,1494,2,2006
157000,6,1253,1,1253,1,1960
132000,7,854,2,832,1,1929
149000,6,1004,2,1004,1,1970
90000,4,1296,2,0,2,1967
159000,5,1114,2,1114,1,2004
139000,5,1339,1,1029,1,1958
325300,8,2376,3,1158,3,2005
139400,7,1108,1,637,1,1930
230000,8,1795,2,1777,2,2002
129900,5,1060,2,1040,1,1976
154000,5,1060,1,1060,1,1968
256300,8,1600,3,1566,2,2007
134800,5,900,2,900,1,1951
306000,8,1704,3,1704,2,2007
207500,5,1600,1,1484,1,1957
68500,4,520,1,520,1,1927
40000,4,1317,1,649,1,1920
149350,5,1228,1,1228,1,1966
179900,8,1234,2,1234,2,2007
165500,5,1700,2,1398,1,1959
277500,9,1561,2,1561,2,2005
309000,8,2452,3,1117,3,2004
145000,5,1097,2,1097,1,1994
153000,5,1297,2,1297,1,1954
109000,5,1057,1,1057,1,1953
82000,4,1152,0,0,2,1955
160000,6,1324,2,1088,2,1965
170000,5,1328,1,1350,1,1959
144000,5,884,2,840,1,1983
130250,5,938,1,938,1,1975
141000,5,1150,1,1150,1,1959
319900,9,1752,2,1752,2,2005
239686,7,2149,2,1434,1,2003
249700,8,1656,3,1656,2,2006
113000,4,1452,0,736,2,1920
127000,5,955,1,955,1,1966
177000,6,1470,2,794,2,1997
114500,6,1176,2,816,1,1934
110000,5,816,2,816,1,1963
385000,9,1842,3,1842,0,1981
130000,5,1360,2,384,1,1955
180500,6,1425,2,1425,2,1964
172500,8,1739,2,970,2,1999
196500,7,1720,2,860,2,2004
438780,10,2945,3,1410,3,2006
124900,5,780,1,780,1,1972
158000,6,1158,2,1158,1,2004
101000,5,1111,1,530,1,1920
202500,8,1370,2,1370,2,2006
140000,7,1710,2,576,2,1921
219500,7,2034,2,1057,2,1997
317000,8,2473,3,1143,2,2004
180000,7,2207,2,1947,2,1970
226000,7,1479,2,1453,2,2003
80000,4,747,1,747,1,1945
225000,7,2287,2,1304,2,1953
244000,7,2223,2,2223,2,1973
129500,4,845,2,845,1,1982
185000,7,1718,2,832,2,1998
144900,5,1086,2,1086,1,1954
107400,3,1605,1,840,2,1915
91000,4,988,1,462,1,1973
135750,4,952,1,952,1,1956
127000,5,1285,1,672,1,1948
136500,4,1768,0,1768,2,1968
110000,5,1230,2,440,1,1910
193500,6,2142,1,896,2,1968
153500,6,1337,2,1237,2,1998
245000,8,1563,3,1563,2,2007
126500,5,1065,2,1065,1,1960
168500,7,1474,2,384,2,1995
260000,8,2417,2,1288,2,1991
174000,6,1560,2,684,2,2005
164500,6,1224,2,612,2,2009
85000,3,1526,0,1013,1,1915
123600,4,990,0,990,1,1994
109900,4,1040,2,0,1,1950
98600,5,1235,2,1235,1,1961
163500,5,964,2,876,1,1921
133900,6,2291,2,1214,2,1910
204750,6,1786,2,824,2,1997
185000,6,1470,2,680,2,1993
214000,7,1588,2,1588,2,1999
94750,4,960,1,960,1,1965
83000,5,835,1,458,1,1920
128950,4,1225,0,950,1,1959
205000,6,1610,2,1610,2,1977
178000,6,1732,2,741,2,1985
118964,5,1535,2,0,2,1979
198900,7,1226,3,1226,2,2009
169500,7,1818,1,1040,1,1931
250000,8,1992,2,1053,2,2003
100000,4,1047,1,641,1,1885
115000,5,789,1,789,1,1948
115000,5,1517,0,793,2,1919
190000,6,1844,2,1844,2,1977
136900,6,1855,1,994,2,1954
180000,7,1430,2,384,2,2000
383970,7,2696,3,1264,2,2007
217000,6,2259,2,1809,2,1953
259500,6,2320,1,1028,2,1945
176000,6,1458,2,729,2,1999
139000,5,1092,1,1092,1,1962
155000,5,1125,2,1125,1,2006
320000,7,3222,3,1673,3,1990
163990,6,1456,2,728,2,2005
180000,6,988,2,938,1,1969
100000,4,1123,1,732,1,1939
136000,6,1080,1,1080,1,1958
153900,6,1199,2,1199,2,1993
181000,6,1586,2,1362,2,1979
84500,6,754,0,520,1,1935
128000,6,958,2,1078,2,1976
87000,5,840,0,672,1,1930
155000,6,1348,2,660,1,1966
150000,5,1053,2,1008,1,1958
226000,7,2157,2,924,2,1966
244000,6,2054,2,992,2,2000
150750,5,1327,2,1063,1,1959
220000,8,1296,2,1267,2,2001
180000,5,1721,2,1461,2,1968
174000,7,1682,2,1304,2,1970
143000,5,1214,1,1214,2,1967
171000,7,1959,3,1907,3,1988
230000,8,1852,3,1004,2,1999
231500,6,1764,2,928,2,1997
115000,4,864,0,864,1,1971
260000,7,1734,2,1734,2,2005
166000,5,1385,2,910,2,1952
204000,7,1501,2,1490,2,1999
125000,5,1728,2,1728,2,1963
130000,6,1709,2,970,2,2004
105000,5,875,1,715,1,1931
222500,7,2035,2,884,2,2001
141000,7,1080,0,1080,1,2004
115000,5,1344,1,896,1,1936
122000,5,969,2,969,1,1975
372402,8,1710,3,1710,2,2007
190000,6,1993,2,825,2,1971
235000,6,1252,2,1602,1,1960
125000,6,1200,1,1200,1,1923
79000,6,1096,0,572,1,1924
109500,5,1040,2,0,1,1950
269500,8,1968,3,774,2,2009
254900,7,1947,2,991,2,2004
320000,7,2462,2,1392,2,2005
162500,6,1232,2,1232,2,1984
412500,9,2668,3,1572,2,2003
220000,7,1541,2,1541,2,2005
103200,4,882,0,882,1,1956
152000,6,1616,1,1149,2,1926
127500,5,1355,0,644,2,1940
190000,5,1867,1,1617,1,1955
325624,8,2161,3,1582,1,2007
183500,7,1720,2,840,2,2004
228000,8,1707,2,1686,2,1981
128500,5,1382,2,720,1,1941
215000,6,1656,2,1080,1,1960
239000,7,1767,2,1064,2,1987
163000,6,1362,2,1362,1,1961
184000,6,1651,2,1606,2,1986
243000,6,2158,2,1202,2,1950
211000,6,2060,2,1151,2,1988
172500,5,1920,2,1052,2,1958
501837,9,2234,3,2216,2,2008
100000,5,968,2,968,1,1923
177000,6,1525,2,756,2,2000
200100,7,1802,1,793,1,1920
120000,5,1340,1,0,1,1957
